date_time,carpark_id,available_slots
2025-04-01T00:01:00,HE12,99
2025-04-01T00:01:00,HLM,497
2025-04-01T00:01:00,RHM,141
2025-04-01T00:01:00,BM29,82
2025-04-01T00:01:00,Q81,86
2025-04-01T00:01:00,C20,41
2025-04-01T00:01:00,FR3M,174
2025-04-01T00:01:00,C32,288
2025-04-01T00:01:00,C6,108
2025-04-01T00:01:00,TG2,96
2025-04-01T00:01:00,BP1,261
2025-04-01T00:01:00,TG1,62
2025-04-01T00:01:00,TGM2,119
2025-04-01T00:01:00,TE14,39
2025-04-01T00:01:00,BM3,0
2025-04-01T00:01:00,BM9,121
2025-04-01T00:01:00,HG44,0
2025-04-01T00:01:00,HG64,27
2025-04-01T00:01:00,PM27,110
2025-04-01T00:01:00,PM28,85
2025-04-01T00:01:00,TM36,59
2025-04-01T00:01:00,TM37,73
2025-04-01T00:01:00,T50,117
2025-04-01T00:01:00,T51,48
2025-04-01T00:01:00,TM43,181
2025-04-01T00:01:00,T15,18
2025-04-01T00:01:00,T16,37
2025-04-01T00:01:00,T17,97
2025-04-01T00:01:00,T18,44
2025-04-01T00:01:00,B9,109
2025-04-01T00:01:00,B10,192
2025-04-01T00:01:00,B14,61
2025-04-01T00:01:00,WCB,75
2025-04-01T00:01:00,ACB,64
2025-04-01T00:01:00,CY,9
2025-04-01T00:01:00,AM46,57
2025-04-01T00:01:00,A12,103
2025-04-01T00:01:00,BE45,47
2025-04-01T00:01:00,BE39,0
2025-04-01T00:01:00,BE40,201
2025-04-01T00:01:00,Y79M,177
2025-04-01T00:01:00,CR29,0
2025-04-01T00:01:00,KLM,263
2025-04-01T00:01:00,SE34,46
2025-04-01T00:01:00,KB7,51
2025-04-01T00:01:00,SE31,13
2025-04-01T00:01:00,J56,14
2025-04-01T00:01:00,J57,353
2025-04-01T00:01:00,J57L,10
2025-04-01T00:01:00,J33,46
2025-04-01T00:01:00,J34,46
2025-04-01T00:01:00,BL8,327
2025-04-01T00:01:00,J36,100
2025-04-01T00:01:00,J54,150
2025-04-01T00:01:00,J55,88
2025-04-01T00:01:00,J43,49
2025-04-01T00:01:00,J46,34
2025-04-01T00:01:00,KB1,96
2025-04-01T00:01:00,GBM,323
2025-04-01T00:01:00,SE14,54
2025-04-01T00:01:00,SE50,369
2025-04-01T00:01:00,J40,32
2025-04-01T00:01:00,JM1,139
2025-04-01T00:01:00,J32,80
2025-04-01T00:01:00,A11,206
2025-04-01T00:01:00,TR1,139
2025-04-01T00:01:00,JBM,206
2025-04-01T00:01:00,TE2,138
2025-04-01T00:01:00,CR31,19
2025-04-01T00:01:00,J1,167
2025-04-01T00:01:00,J2,79
2025-04-01T00:01:00,J3,132
2025-04-01T00:01:00,T37,477
2025-04-01T00:01:00,KB3,66
2025-04-01T00:01:00,KBM,145
2025-04-01T00:01:00,J4,53
2025-04-01T00:01:00,TGM1,178
2025-04-01T00:01:00,TG3,88
2025-04-01T00:01:00,TG6,79
2025-04-01T00:01:00,TG7,168
2025-04-01T00:01:00,CR30,5
2025-04-01T00:01:00,RCM,65
2025-04-01T00:01:00,EPM,138
2025-04-01T00:01:00,TGM3,220
2025-04-01T00:01:00,KB14,49
2025-04-01T00:01:00,J41,90
2025-04-01T00:01:00,JBM2,42
2025-04-01T00:01:00,J39,69
2025-04-01T00:01:00,J52,140
2025-04-01T00:01:00,J51,294
2025-04-01T00:01:00,J53,69
2025-04-01T00:01:00,T19,309
2025-04-01T00:01:00,J49,554
2025-04-01T00:01:00,J27,58
2025-04-01T00:01:00,TB14,5
2025-04-01T00:01:00,U19,201
2025-04-01T00:01:00,U6,65
2025-04-01T00:01:00,U45,49
2025-04-01T00:01:00,BBM7,151
2025-04-01T00:01:00,BE12,148
2025-04-01T00:01:00,HG41,102
2025-04-01T00:01:00,HG43,148
2025-04-01T00:01:00,MN1,65
2025-04-01T00:01:00,MNRM,172
2025-04-01T00:01:00,MN2,103
2025-04-01T00:01:00,C7,0
2025-04-01T00:01:00,C17,0
2025-04-01T00:01:00,C20M,452
2025-04-01T00:01:00,T41,138
2025-04-01T00:01:00,T42,25
2025-04-01T00:01:00,TM42,241
2025-04-01T00:01:00,J48,261
2025-04-01T00:01:00,BH1,43
2025-04-01T00:01:00,BH2,25
2025-04-01T00:01:00,BKE7,137
2025-04-01T00:01:00,BR5,55
2025-04-01T00:01:00,BRM3,201
2025-04-01T00:01:00,BRM4,57
2025-04-01T00:01:00,M16,34
2025-04-01T00:01:00,M20,3
2025-04-01T00:01:00,M35,22
2025-04-01T00:01:00,M36,2
2025-04-01T00:01:00,M37,0
2025-04-01T00:01:00,M38,7
2025-04-01T00:01:00,MM3,121
2025-04-01T00:01:00,MP12,74
2025-04-01T00:01:00,MP13,177
2025-04-01T00:01:00,MP1M,280
2025-04-01T00:01:00,PP1,39
2025-04-01T00:01:00,PP2,116
2025-04-01T00:01:00,PP3,91
2025-04-01T00:01:00,PP4,3
2025-04-01T00:01:00,PP5,123
2025-04-01T00:01:00,TP10,27
2025-04-01T00:01:00,TP14,14
2025-04-01T00:01:00,TP16,602
2025-04-01T00:01:00,TP17,77
2025-04-01T00:01:00,TP18,335
2025-04-01T00:01:00,TP2,4
2025-04-01T00:01:00,TPMG,84
2025-04-01T00:01:00,TP36,12
2025-04-01T00:01:00,TPM4,121
2025-04-01T00:01:00,TPM5,184
2025-04-01T00:01:00,TPM6,138
2025-04-01T00:01:00,TP27,110
2025-04-01T00:01:00,TPMN,453
2025-04-01T00:01:00,TPMP,211
2025-04-01T00:01:00,WDB1,19
2025-04-01T00:01:00,Y23,268
2025-04-01T00:01:00,Y24,53
2025-04-01T00:01:00,Y56,16
2025-04-01T00:01:00,BBM1,221
2025-04-01T00:01:00,BBM8,127
2025-04-01T00:01:00,BJ10,67
2025-04-01T00:01:00,BJ11,13
2025-04-01T00:01:00,BJ12,81
2025-04-01T00:01:00,BJ17,90
2025-04-01T00:01:00,BJ18,113
2025-04-01T00:01:00,BJ28,352
2025-04-01T00:01:00,BJ3,261
2025-04-01T00:01:00,BJ33,250
2025-04-01T00:01:00,BJ42,141
2025-04-01T00:01:00,BJ45,135
2025-04-01T00:01:00,SK44,0
2025-04-01T00:01:00,U48,36
2025-04-01T00:01:00,U5,31
2025-04-01T00:01:00,JM14,248
2025-04-01T00:01:00,JM12,247
2025-04-01T00:01:00,W39,1
2025-04-01T00:01:00,PL67,287
2025-04-01T00:01:00,SK44,109
2025-04-01T00:01:00,SK40,0
2025-04-01T00:01:00,U9,35
2025-04-01T00:01:00,U26,153
2025-04-01T00:01:00,U25,164
2025-04-01T00:01:00,U24T,17
2025-04-01T00:01:00,U24,58
2025-04-01T00:01:00,U23,255
2025-04-01T00:01:00,U22,115
2025-04-01T00:01:00,U21,114
2025-04-01T00:01:00,U2,353
2025-04-01T00:01:00,J45,0
2025-04-01T00:01:00,TM25,3
2025-04-01T00:01:00,TM26,25
2025-04-01T00:01:00,TM27,165
2025-04-01T00:01:00,J37,61
2025-04-01T00:01:00,BM1,0
2025-04-01T00:01:00,BM2,4
