date_time,carpark_id,available_slots
2025-07-01T00:01:00,HE12,50
2025-07-01T00:01:00,HLM,482
2025-07-01T00:01:00,RHM,129
2025-07-01T00:01:00,BM29,37
2025-07-01T00:01:00,Q81,84
2025-07-01T00:01:00,C20,137
2025-07-01T00:01:00,FR3M,167
2025-07-01T00:01:00,C32,288
2025-07-01T00:01:00,C6,104
2025-07-01T00:01:00,TG2,95
2025-07-01T00:01:00,BP1,275
2025-07-01T00:01:00,TG1,58
2025-07-01T00:01:00,TGM2,116
2025-07-01T00:01:00,TE14,27
2025-07-01T00:01:00,BM3,0
2025-07-01T00:01:00,BM9,121
2025-07-01T00:01:00,HG44,25
2025-07-01T00:01:00,HG64,38
2025-07-01T00:01:00,PM27,125
2025-07-01T00:01:00,PM28,96
2025-07-01T00:01:00,TM36,63
2025-07-01T00:01:00,TM37,72
2025-07-01T00:01:00,T50,108
2025-07-01T00:01:00,T51,48
2025-07-01T00:01:00,TM43,176
2025-07-01T00:01:00,T15,15
2025-07-01T00:01:00,T16,45
2025-07-01T00:01:00,T17,93
2025-07-01T00:01:00,T18,49
2025-07-01T00:01:00,B9,119
2025-07-01T00:01:00,B10,193
2025-07-01T00:01:00,B14,61
2025-07-01T00:01:00,WCB,79
2025-07-01T00:01:00,ACB,61
2025-07-01T00:01:00,CY,6
2025-07-01T00:01:00,AM46,54
2025-07-01T00:01:00,A12,101
2025-07-01T00:01:00,BE45,128
2025-07-01T00:01:00,BE39,158
2025-07-01T00:01:00,BE40,201
2025-07-01T00:01:00,Y79M,191
2025-07-01T00:01:00,CR29,1
2025-07-01T00:01:00,KLM,272
2025-07-01T00:01:00,SE34,36
2025-07-01T00:01:00,KB7,51
2025-07-01T00:01:00,SE31,25
2025-07-01T00:01:00,J56,12
2025-07-01T00:01:00,J57,343
2025-07-01T00:01:00,J57L,11
2025-07-01T00:01:00,J33,47
2025-07-01T00:01:00,J34,52
2025-07-01T00:01:00,BL8,316
2025-07-01T00:01:00,J36,114
2025-07-01T00:01:00,J54,138
2025-07-01T00:01:00,J55,95
2025-07-01T00:01:00,J43,60
2025-07-01T00:01:00,J46,37
2025-07-01T00:01:00,KB1,86
2025-07-01T00:01:00,GBM,335
2025-07-01T00:01:00,SE14,92
2025-07-01T00:01:00,SE50,413
2025-07-01T00:01:00,J40,29
2025-07-01T00:01:00,JM1,129
2025-07-01T00:01:00,J32,80
2025-07-01T00:01:00,A11,197
2025-07-01T00:01:00,TR1,142
2025-07-01T00:01:00,JBM,189
2025-07-01T00:01:00,TE2,143
2025-07-01T00:01:00,CR31,10
2025-07-01T00:01:00,J1,171
2025-07-01T00:01:00,J2,85
2025-07-01T00:01:00,J3,136
2025-07-01T00:01:00,T37,524
2025-07-01T00:01:00,KB3,68
2025-07-01T00:01:00,KBM,141
2025-07-01T00:01:00,J4,132
2025-07-01T00:01:00,TGM1,193
2025-07-01T00:01:00,TG3,91
2025-07-01T00:01:00,TG6,82
2025-07-01T00:01:00,TG7,167
2025-07-01T00:01:00,CR30,7
2025-07-01T00:01:00,RCM,64
2025-07-01T00:01:00,EPM,125
2025-07-01T00:01:00,TGM3,218
2025-07-01T00:01:00,KB14,48
2025-07-01T00:01:00,J41,100
2025-07-01T00:01:00,JBM2,50
2025-07-01T00:01:00,J39,53
2025-07-01T00:01:00,J52,163
2025-07-01T00:01:00,J51,122
2025-07-01T00:01:00,J53,65
2025-07-01T00:01:00,T19,311
2025-07-01T00:01:00,J49,110
2025-07-01T00:01:00,J27,56
2025-07-01T00:01:00,TB14,6
2025-07-01T00:01:00,U19,203
2025-07-01T00:01:00,U6,55
2025-07-01T00:01:00,U45,47
2025-07-01T00:01:00,BBM7,152
2025-07-01T00:01:00,BE12,136
2025-07-01T00:01:00,HG41,0
2025-07-01T00:01:00,HG43,0
2025-07-01T00:01:00,MN1,66
2025-07-01T00:01:00,MNRM,193
2025-07-01T00:01:00,MN2,105
2025-07-01T00:01:00,C7,0
2025-07-01T00:01:00,C17,5
2025-07-01T00:01:00,C20M,451
2025-07-01T00:01:00,T41,130
2025-07-01T00:01:00,T42,31
2025-07-01T00:01:00,TM42,231
2025-07-01T00:01:00,J48,273
2025-07-01T00:01:00,BH1,44
2025-07-01T00:01:00,BH2,37
2025-07-01T00:01:00,BKE7,140
2025-07-01T00:01:00,BR5,58
2025-07-01T00:01:00,BRM3,216
2025-07-01T00:01:00,BRM4,55
2025-07-01T00:01:00,M16,31
2025-07-01T00:01:00,M20,5
2025-07-01T00:01:00,M35,22
2025-07-01T00:01:00,M36,3
2025-07-01T00:01:00,M37,0
2025-07-01T00:01:00,M38,10
2025-07-01T00:01:00,MM3,129
2025-07-01T00:01:00,MP12,79
2025-07-01T00:01:00,MP13,194
2025-07-01T00:01:00,MP1M,301
2025-07-01T00:01:00,PP1,32
2025-07-01T00:01:00,PP2,127
2025-07-01T00:01:00,PP3,102
2025-07-01T00:01:00,PP4,0
2025-07-01T00:01:00,PP5,112
2025-07-01T00:01:00,TP10,35
2025-07-01T00:01:00,TP14,24
2025-07-01T00:01:00,TP16,584
2025-07-01T00:01:00,TP17,68
2025-07-01T00:01:00,TP18,341
2025-07-01T00:01:00,TP2,4
2025-07-01T00:01:00,TPMG,86
2025-07-01T00:01:00,TP36,15
2025-07-01T00:01:00,TPM4,136
2025-07-01T00:01:00,TPM5,178
2025-07-01T00:01:00,TPM6,138
2025-07-01T00:01:00,TP27,109
2025-07-01T00:01:00,TPMN,442
2025-07-01T00:01:00,TPMP,204
2025-07-01T00:01:00,WDB1,22
2025-07-01T00:01:00,Y23,304
2025-07-01T00:01:00,Y24,57
2025-07-01T00:01:00,Y56,21
2025-07-01T00:01:00,BBM1,224
2025-07-01T00:01:00,BBM8,115
2025-07-01T00:01:00,BJ10,49
2025-07-01T00:01:00,BJ11,19
2025-07-01T00:01:00,BJ12,137
2025-07-01T00:01:00,BJ17,98
2025-07-01T00:01:00,BJ18,91
2025-07-01T00:01:00,BJ28,351
2025-07-01T00:01:00,BJ3,271
2025-07-01T00:01:00,BJ33,256
2025-07-01T00:01:00,BJ42,143
2025-07-01T00:01:00,BJ45,142
2025-07-01T00:01:00,SK44,0
2025-07-01T00:01:00,U48,26
2025-07-01T00:01:00,U5,36
2025-07-01T00:01:00,JM14,252
2025-07-01T00:01:00,JM12,260
2025-07-01T00:01:00,W39,181
2025-07-01T00:01:00,PL67,293
2025-07-01T00:01:00,SK40,0
2025-07-01T00:01:00,U9,70
2025-07-01T00:01:00,U26,164
2025-07-01T00:01:00,U25,168
2025-07-01T00:01:00,U24T,20
2025-07-01T00:01:00,U24,59
2025-07-01T00:01:00,U23,246
2025-07-01T00:01:00,U22,152
2025-07-01T00:01:00,U21,106
2025-07-01T00:01:00,U2,386
2025-07-01T00:01:00,J45,13
2025-07-01T00:01:00,TM25,0
2025-07-01T00:01:00,TM26,0
2025-07-01T00:01:00,TM27,141
2025-07-01T00:01:00,J37,55
2025-07-01T00:01:00,BM1,20
2025-07-01T00:01:00,BM2,31
2025-07-01T00:01:00,BM26,338
2025-07-01T00:01:00,BWM,116
2025-07-01T00:01:00,TBMT,34
2025-07-01T00:01:00,TPM,253
2025-07-01T00:01:00,U29,314
2025-07-01T00:01:00,U27,5
2025-07-01T00:01:00,U18,0
2025-07-01T00:01:00,U30,64
